",""MUNICIPIOS"",""RISP"",""JAN"",""FEV"",""MAR"",""ABR"",""MAI"",""JUN"",""JUL"",""AGO"",""SET"",""OUT"",""NOV"",""DEZ"""
"1,""ABAETETUBA"",""04RISP"",4,3,12,13,6,4,3,9,7,7,1,3"
"2,""ABEL FIGUEIREDO"",""10RISP"",0,0,1,0,0,1,0,0,0,1,1,0"
"3,""ACARA"",""04RISP"",2,3,5,3,4,3,2,7,2,2,4,1"
"4,""AFUA"",""08RISP"",0,2,0,0,1,1,0,0,0,1,2,0"
"5,""AGUA AZUL DO NORTE"",""14RISP"",1,1,1,0,0,0,0,0,0,3,1,1"
"6,""ALENQUER"",""12RISP"",0,0,1,1,1,0,4,1,3,1,3,0"
"7,""ALMEIRIM"",""12RISP"",1,1,3,4,3,2,1,2,2,6,2,1"
"8,""ALTAMIRA"",""11RISP"",2,8,5,4,9,6,1,7,5,6,4,6"
"9,""ANAJAS"",""08RISP"",0,0,1,1,0,0,1,2,0,0,0,0"
"10,""ANANINDEUA"",""02RISP"",17,15,15,19,13,22,10,24,16,21,9,10"
"11,""ANAPU"",""11RISP"",1,2,0,4,1,0,1,1,1,1,0,1"
"12,""AUGUSTO CORREA"",""06RISP"",3,1,0,0,2,3,6,3,1,0,0,0"
"13,""AURORA DO PARA"",""07RISP"",2,2,4,1,3,1,0,1,1,0,0,1"
"14,""AVEIRO"",""15RISP"",0,1,2,0,1,1,1,0,0,0,0,0"
"15,""BAGRE"",""08RISP"",1,2,4,2,1,1,1,2,1,1,1,1"
"16,""BAIAO"",""04RISP"",1,2,2,0,1,0,0,1,3,3,0,0"
"17,""BANNACH"",""14RISP"",0,0,0,0,0,0,0,0,0,0,0,0"
"18,""BARCARENA"",""04RISP"",5,5,10,4,5,9,5,12,5,9,5,5"
"19,""BELEM"",""01RISP"",53,33,31,43,55,50,45,71,52,52,59,49"
"20,""BELTERRA"",""12RISP"",3,1,3,0,3,1,4,1,1,0,1,0"
"21,""BENEVIDES"",""02RISP"",0,1,3,2,4,3,3,3,3,4,3,2"
"22,""BOM JESUS DO TOCANTINS"",""10RISP"",1,0,2,0,1,0,1,1,0,0,1,0"
"23,""BONITO"",""06RISP"",1,0,1,1,0,0,5,0,2,0,1,0"
"24,""BRAGANCA"",""06RISP"",5,4,2,3,5,5,10,2,8,1,4,3"
"25,""BRASIL NOVO"",""11RISP"",1,0,1,1,1,0,4,2,2,1,2,1"
"26,""BREJO GRANDE DO ARAGUAIA"",""10RISP"",0,0,0,0,1,1,0,0,0,1,1,0"
"27,""BREU BRANCO"",""09RISP"",1,1,1,2,1,0,1,2,2,4,1,1"
"28,""BREVES"",""08RISP"",0,3,4,1,5,5,2,1,2,3,1,0"
"29,""BUJARU"",""03RISP"",0,1,0,4,0,1,1,0,4,2,1,1"
"30,""CACHOEIRA DO ARARI"",""05RISP"",1,3,0,1,1,2,3,2,2,3,0,0"
"31,""CACHOEIRA DO PIRIA"",""06RISP"",1,0,0,0,1,1,1,4,2,1,0,0"
"32,""CAMETA"",""04RISP"",2,2,1,8,5,3,1,3,5,4,5,1"
"33,""CANAA DOS CARAJAS"",""10RISP"",4,1,5,3,3,3,5,4,3,5,4,3"
"34,""CAPANEMA"",""06RISP"",1,3,2,3,3,5,2,4,2,0,0,1"
"35,""CAPITAO POCO"",""06RISP"",1,0,1,4,3,3,2,2,1,3,1,1"
"36,""CASTANHAL"",""03RISP"",7,9,7,12,10,10,10,14,8,12,14,10"
"37,""CHAVES"",""08RISP"",2,0,4,0,1,0,1,0,0,1,2,1"
"38,""COLARES"",""03RISP"",0,0,0,3,0,0,2,0,1,0,1,0"
